sdv_primary_key,media_type,has_media,text_len,timestamp_hour,timestamp_minute,asks_for_reply,deadline,has_direct_mention,is_greeting,opt_out,otp,payment,promotional,suspicious_link,is_forwarded,has_url,n_mentions,chat_type,is_group,recent_messages_count,group_muted_by_user,membership_role,membership_messages_read_30d,membership_messages_sent_30d,membership_replies_sent_30d,membership_notifications_dismissed_30d,group_member_count,group_admin_count,group_messages_30d,group_type,sender_is_business,sender_is_verified,sender_type,sender_messages_opened_30d,sender_messages_replied_30d,sender_messages_reported_30d,sender_notifications_dismissed_30d,user_messages_opened_30d,user_messages_replied_30d,user_messages_reported_30d,user_notifications_dismissed_30d,has_quiet_hours,is_in_quiet_hours,is_business,business_is_verified,business_account_age_days,business_domain_age_days,business_messages_sent_30d,business_user_reports_30d,business_category,domain_matches_official,purchase_history_count,rel_activity_count_180d,rel_messages_opened_30d,rel_messages_dismissed_30d,rel_messages_replied_30d,rel_allows_promotions,rel_opted_out,subscription,hist_message_opened,hist_message_replied,hist_message_reported,hist_muted_after_message,hist_notification_dismissed,similar_messages_count,priority,confidence,action,message_type,message_id
10,none,False,205,14,3,False,True,False,False,False,False,False,True,False,False,False,0,business,False,1,False,none,0,0,0,0,0,0,0,none,True,True,business,66,21,4,28,113,30,0,27,True,False,True,False,937,0,0,18,none,False,0,0,6,0,2,none,False,none,5,9,0,1,1,5,-6,0.77,digest,personal,synthetic
11,voice,True,101,22,13,False,False,False,False,False,False,False,True,False,False,False,0,group,True,0,False,member,2,1,0,8,6,1,80,marketplace,False,False,group,65,23,3,39,28,4,2,63,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,1,1,2,1,1,0,-23,0.89,mute,payment,synthetic
12,none,False,171,14,3,False,False,False,False,False,False,False,False,False,True,False,0,group,True,18,False,member,10,8,5,8,203,3,808,marketplace,False,False,group,75,25,2,33,106,37,2,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,18,20,0,0,0,5,2,0.75,notify,event,synthetic
13,none,False,114,18,55,False,False,False,False,True,False,True,False,False,False,False,0,group,True,1,False,member,1,0,1,0,0,0,4,none,False,False,group,12,7,1,16,59,6,1,34,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,1,0,7,17,17,5,-1,0.78,digest,promotion,synthetic
14,voice,True,113,20,42,False,False,False,False,False,False,True,False,False,False,False,0,group,True,15,False,member,2,0,0,0,0,0,14,none,False,True,group,25,18,3,13,73,6,2,24,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,4,1,1,3,3,3,-2,0.79,notify,urgent,synthetic
15,none,False,197,14,23,True,False,False,False,True,False,False,True,False,False,False,0,business,False,7,False,none,0,0,0,0,0,0,0,none,True,True,business,12,12,1,0,45,12,2,71,True,False,True,True,4445,3479,5282,46,ecommerce,True,7,7,8,6,2,0,True,old_sale_subscription,4,4,3,18,18,5,-20,0.75,notify,event,synthetic
16,none,False,136,20,47,False,True,False,False,False,False,True,False,False,False,False,0,group,True,4,True,admin,4,7,6,4,149,2,664,marketplace,False,False,group,82,27,3,36,34,13,2,19,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,17,17,8,13,13,5,3,0.96,digest,personal,synthetic
17,none,False,196,22,55,False,False,False,False,False,True,False,False,False,False,False,0,business,False,15,False,none,0,0,0,0,0,0,0,none,True,False,business,17,18,4,32,99,10,0,15,True,False,True,False,937,0,0,2,ecommerce_delivery,False,0,0,7,0,2,0,False,none,19,14,4,13,13,5,7,0.83,mute,promotion,synthetic
18,none,False,195,19,37,True,False,False,False,False,False,True,False,False,False,False,0,business,False,12,False,none,0,0,0,0,0,0,0,none,True,False,business,67,18,3,25,103,14,1,14,True,False,True,False,937,0,0,8,none,False,0,0,2,0,2,none,False,none,11,1,3,8,8,5,0,0.78,digest,personal,synthetic
19,none,False,160,11,54,False,False,False,False,False,False,True,False,False,False,False,0,business,False,6,False,none,0,0,0,0,0,0,0,none,True,False,business,75,19,3,22,37,4,3,42,True,False,True,False,3379,0,0,7,healthcare,False,0,0,3,0,0,none,False,none,4,5,6,1,1,5,-8,0.77,digest,personal,synthetic
20,none,False,191,21,42,False,False,False,False,False,False,False,False,False,False,False,0,group,True,8,False,member,2,2,0,7,1,2,13,none,False,False,group,66,18,3,41,26,6,2,57,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,12,2,7,17,17,5,6,0.79,digest,personal,synthetic
21,none,False,86,14,13,True,True,False,False,False,False,False,False,False,False,True,0,group,True,0,True,member,2,0,0,9,94,0,496,family,False,False,group,38,29,4,38,81,7,0,45,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,0,0,8,7,7,3,2,0.75,notify,event,synthetic
22,none,False,212,19,37,False,False,False,False,False,True,False,False,False,False,True,0,personal,False,3,False,none,0,0,0,0,0,0,0,none,False,True,personal,74,18,4,45,64,6,0,70,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,1,0,8,6,6,5,-10,0.81,notify,personal,synthetic
23,voice,True,202,12,32,True,False,False,False,False,True,True,False,False,True,False,0,group,True,17,True,member,3,1,1,9,115,1,564,none,False,False,group,34,26,4,41,43,5,2,58,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,4,2,2,17,17,5,-3,0.82,digest,promotion,synthetic
24,none,False,230,12,50,True,False,False,False,True,False,False,True,False,True,False,0,group,True,15,False,admin,1,1,0,4,27,1,197,none,False,False,group,55,11,1,47,47,8,0,41,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,4,1,6,19,19,5,2,0.83,digest,personal,synthetic
25,image,True,153,15,54,True,False,False,False,False,False,False,False,False,False,True,0,business,False,13,False,none,0,0,0,0,0,0,0,none,True,False,business,57,18,0,20,90,22,2,21,True,False,True,False,4304,0,2,33,none,False,0,0,6,0,2,none,False,none,8,9,4,7,7,5,-7,0.75,mute,promotion,synthetic
26,none,False,146,18,16,False,False,False,False,False,True,True,False,False,False,False,0,group,True,11,False,admin,11,16,7,8,92,3,448,real_estate,False,True,group,95,26,3,36,81,22,3,31,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,17,11,8,8,8,5,-6,0.89,digest,personal,synthetic
27,image,True,106,21,22,False,False,False,False,False,False,True,False,False,False,False,0,group,True,1,False,member,7,6,1,8,1,1,23,society,False,True,group,74,28,4,29,44,8,3,69,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,5,3,5,0,0,3,-4,0.79,mute,forward,synthetic
28,none,False,199,8,54,False,False,False,False,False,False,True,False,False,False,False,0,group,True,17,True,admin,9,1,8,0,18,1,136,marketplace,False,True,group,56,19,2,17,32,13,2,40,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,21,19,9,15,15,5,3,0.77,notify,event,synthetic
29,none,False,203,16,41,False,False,False,False,False,True,False,False,False,True,False,0,group,True,4,False,member,1,0,0,3,2,0,33,none,False,False,group,39,3,0,4,79,15,3,29,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,3,1,7,9,9,5,-20,0.94,mute,scam,synthetic
30,voice,True,7,19,5,False,False,True,False,False,False,False,False,False,False,False,1,business,False,0,False,none,0,0,0,0,0,0,0,none,True,False,business,10,25,0,1,21,3,3,81,True,False,True,False,4450,3483,5301,54,healthcare,True,5,5,7,5,2,none,False,recent_grocery_delivery,0,0,1,0,0,0,2,0.75,digest,personal,synthetic
31,image,True,159,11,24,False,True,False,False,False,True,False,False,False,False,False,0,group,True,9,False,member,13,10,8,1,190,2,807,college_students,False,True,group,83,24,1,35,76,16,1,16,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,10,8,5,4,4,5,5,0.93,digest,personal,synthetic
32,none,False,185,8,24,False,False,False,False,True,False,True,False,False,False,False,0,business,False,4,False,none,0,0,0,0,0,0,0,none,True,True,business,22,16,4,17,40,4,3,62,True,False,True,False,4304,0,17,44,none,False,0,0,6,0,2,none,False,none,0,0,4,3,3,5,5,0.79,digest,personal,synthetic
33,none,False,201,10,49,True,False,True,False,True,False,False,True,False,False,False,1,business,False,0,False,none,0,0,0,0,0,0,0,none,True,False,business,73,28,2,41,62,20,2,54,True,False,True,False,1048,0,0,17,none,False,0,0,5,0,1,none,False,delivery_expected_today,1,3,1,3,3,5,12,0.76,digest,personal,synthetic
34,none,False,206,11,23,True,True,False,False,False,False,False,False,False,False,False,0,business,False,4,False,none,0,0,0,0,0,0,0,none,True,False,business,32,19,3,42,75,9,3,14,True,True,True,False,3379,0,0,20,none,False,0,0,6,0,2,none,False,none,11,2,2,11,11,5,3,0.79,notify,urgent,synthetic
35,none,False,179,21,23,False,True,False,False,False,True,False,False,False,False,False,0,group,True,1,False,member,4,1,4,0,3,0,48,none,False,False,group,73,29,3,44,63,23,1,57,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,9,15,6,0,0,5,-7,0.9,notify,urgent,synthetic
36,none,False,200,13,41,True,True,False,False,False,False,False,False,False,False,False,0,group,True,14,False,member,6,8,3,2,25,1,174,marketplace,False,False,group,97,27,1,34,51,7,2,37,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,12,10,6,8,8,5,5,0.76,notify,payment,synthetic
37,none,False,25,9,41,False,True,False,False,False,False,True,False,False,False,False,0,group,True,1,False,admin,2,1,2,4,230,1,928,extended_family,False,False,group,76,27,1,31,100,15,3,14,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,2,0,0,0,0,0,6,0.82,digest,personal,synthetic
38,none,False,212,14,37,False,False,False,False,True,False,False,False,False,False,False,0,group,True,1,False,member,7,4,5,1,1,0,16,marketplace,False,False,group,63,19,1,7,96,40,1,39,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,19,20,2,0,0,5,-16,0.79,digest,personal,synthetic
39,none,False,198,20,6,False,True,False,False,True,False,False,False,False,False,False,0,group,True,0,False,member,1,0,0,3,0,0,9,none,False,False,group,32,10,1,7,76,16,2,25,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,0,0,5,1,1,5,-33,0.75,notify,urgent,synthetic
40,image,True,187,12,2,True,True,False,False,True,False,False,True,False,False,False,0,group,True,0,False,member,19,17,8,0,123,1,564,coworker,False,True,group,92,24,0,49,37,12,2,41,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,0,0,7,2,2,5,0,0.89,notify,event,synthetic
41,none,False,120,8,46,False,False,False,False,False,False,False,False,False,True,False,0,business,False,10,False,none,0,0,0,0,0,0,0,none,True,False,business,96,30,4,55,42,12,4,20,True,False,True,False,4304,0,0,0,none,False,0,0,6,0,2,none,False,none,11,3,4,5,5,5,-8,0.75,notify,payment,synthetic
42,image,True,143,21,56,False,False,False,False,False,False,False,False,False,False,False,0,business,False,18,False,none,0,0,0,0,0,0,0,none,True,False,business,90,26,2,10,113,28,1,22,True,False,True,False,420,0,0,4,cinema,True,1,1,7,0,1,none,False,recent_product_purchase,21,21,4,9,9,5,9,0.76,notify,payment,synthetic
43,none,False,92,8,19,False,False,True,False,False,False,False,False,False,False,False,1,group,True,12,False,admin,19,19,11,8,235,4,934,society,False,False,group,97,31,4,58,33,14,3,47,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,23,22,5,2,2,5,3,0.83,digest,personal,synthetic
44,none,False,177,9,5,True,False,False,False,True,False,False,False,False,False,False,0,group,True,16,False,admin,15,17,4,9,241,4,963,local_food,False,False,group,97,26,4,58,82,13,1,15,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,9,11,4,4,4,5,-5,0.78,digest,personal,synthetic
45,voice,True,22,22,56,False,False,False,False,False,True,False,False,False,False,False,0,group,True,15,False,admin,25,19,12,1,215,4,869,coworker,False,False,group,95,30,4,22,82,12,1,37,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,19,16,9,5,5,0,2,0.75,digest,personal,synthetic
46,none,False,150,12,50,True,False,False,False,False,False,False,False,False,False,False,0,group,True,4,False,member,3,0,1,1,98,1,533,none,False,False,group,10,20,1,28,112,38,0,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,20,19,7,5,5,5,-3,0.75,digest,personal,synthetic
47,none,False,210,8,11,True,False,False,False,False,False,False,False,False,True,True,0,business,False,0,False,none,0,0,0,0,0,0,0,none,True,False,business,3,10,0,1,29,11,2,34,True,False,True,False,4428,3465,5196,55,travel,False,2,2,7,1,2,none,False,none,8,3,1,1,1,5,-5,0.89,mute,scam,synthetic
48,none,False,208,14,44,False,False,False,False,False,False,False,False,False,False,False,0,group,True,5,False,admin,13,16,7,0,2,1,24,society,False,False,group,91,24,3,42,114,32,2,22,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,17,18,2,2,2,5,3,0.75,notify,event,synthetic
49,none,False,129,9,34,False,False,False,False,False,False,False,False,False,True,False,0,group,True,10,False,member,8,1,6,0,49,1,282,extended_family,False,True,group,96,24,4,55,38,14,2,37,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,19,13,8,11,11,5,-37,0.76,mute,forward,synthetic
50,none,False,195,9,42,True,False,False,False,False,True,False,False,False,True,True,0,business,False,1,False,none,0,0,0,0,0,0,0,none,True,True,business,15,14,2,26,54,6,0,68,True,False,True,False,13,9,205,49,retail,False,0,0,5,1,0,none,False,recent_grocery_delivery,4,0,6,19,19,5,-4,0.86,mute,forward,synthetic
51,none,False,223,10,45,False,False,False,False,True,False,True,True,False,False,True,0,group,True,0,False,member,10,9,7,2,18,1,143,marketplace,False,False,group,24,20,1,12,114,38,0,16,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,9,10,0,1,1,5,6,0.75,notify,payment,synthetic
52,none,False,59,21,35,True,False,False,False,False,False,False,False,False,False,False,0,group,True,16,False,member,1,0,0,0,0,0,1,none,False,False,group,1,7,1,2,36,6,1,47,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,7,7,8,1,1,3,-18,0.76,notify,urgent,synthetic
53,none,False,153,11,37,False,False,False,False,False,False,False,False,False,False,False,0,group,True,3,False,admin,3,3,1,0,0,0,0,none,False,True,group,67,14,0,13,72,8,1,63,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,3,0,1,11,11,5,1,0.83,notify,payment,synthetic
54,none,False,219,11,29,True,True,False,False,False,False,False,False,False,False,False,0,group,True,0,False,member,1,0,0,0,0,0,2,none,False,False,group,25,10,1,24,36,9,2,24,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,1,0,8,11,11,5,-4,0.8,mute,spam,synthetic
55,none,False,126,17,54,False,False,False,False,False,False,True,False,False,False,False,0,personal,False,0,False,none,0,0,0,0,0,0,0,none,False,False,personal,87,27,2,47,108,26,0,18,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,2,1,9,9,9,5,-4,0.81,digest,personal,synthetic
56,none,False,161,9,13,True,False,False,False,False,False,True,True,False,False,False,0,business,False,1,False,none,0,0,0,0,0,0,0,none,True,False,business,55,23,2,21,48,18,2,58,True,False,True,False,4304,0,9,36,none,False,0,0,7,0,2,none,False,none,4,18,2,0,0,5,4,0.75,digest,personal,synthetic
57,none,False,133,16,49,False,False,False,False,False,False,False,False,False,False,False,0,group,True,8,True,admin,21,18,5,9,240,4,959,marketplace,False,False,group,87,27,4,57,114,24,0,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,21,20,6,6,6,5,-6,0.75,digest,personal,synthetic
58,none,False,174,17,36,False,True,False,False,False,False,False,False,False,False,False,0,personal,False,20,False,none,0,0,0,0,0,0,0,none,False,False,personal,97,30,3,55,56,31,2,21,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,23,23,8,5,5,5,-4,0.82,digest,personal,synthetic
59,none,False,219,21,15,False,False,False,False,False,False,True,True,False,False,False,0,group,True,14,False,member,12,3,7,0,37,1,265,marketplace,False,False,group,56,28,2,35,75,20,3,28,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,18,16,3,1,1,5,-5,0.82,digest,business_update,synthetic
60,none,False,213,13,12,False,False,False,False,False,False,False,False,False,True,False,0,personal,False,10,False,none,0,0,0,0,0,0,0,none,False,False,personal,93,19,3,55,76,25,0,31,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,5,6,1,11,11,5,4,0.82,digest,personal,synthetic
61,none,False,96,13,5,False,False,False,False,False,False,True,False,False,False,True,0,personal,False,5,False,none,0,0,0,0,0,0,0,none,False,False,personal,89,27,3,52,66,13,2,43,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,11,11,8,1,1,4,-7,0.75,digest,personal,synthetic
62,none,False,225,10,54,False,False,False,False,True,False,False,False,False,False,False,0,group,True,12,False,member,5,8,1,9,88,2,410,marketplace,False,False,group,88,19,3,18,68,15,1,36,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,20,19,8,17,17,5,0,0.75,digest,personal,synthetic
63,none,False,212,17,33,False,False,False,False,False,False,True,False,False,False,False,0,personal,False,3,False,none,0,0,0,0,0,0,0,none,False,False,personal,95,28,1,41,89,27,1,19,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,19,19,2,2,2,5,-2,0.75,notify,payment,synthetic
64,image,True,117,12,23,False,False,False,False,False,True,False,False,False,False,False,0,group,True,4,False,member,5,12,1,9,203,3,809,extended_family,False,False,group,91,27,4,46,20,3,4,41,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,9,3,6,13,13,4,1,0.76,digest,promotion,synthetic
65,voice,True,88,21,5,True,True,False,False,False,False,False,False,False,True,False,0,group,True,18,False,admin,18,16,7,8,177,3,736,local_food,False,False,group,79,26,2,56,41,7,4,42,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,9,10,7,9,9,5,6,0.85,notify,event,synthetic
66,none,False,80,13,16,False,False,False,False,False,False,False,False,False,False,False,0,personal,False,7,False,none,0,0,0,0,0,0,0,none,False,False,personal,97,27,4,57,53,11,3,59,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,15,6,3,0,0,5,-8,0.76,notify,payment,synthetic
67,none,False,208,15,48,False,False,False,False,False,True,True,False,False,False,False,0,personal,False,5,False,none,0,0,0,0,0,0,0,none,False,False,personal,96,30,4,57,94,7,1,48,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,1,0,2,1,1,5,4,0.78,notify,payment,synthetic
68,none,False,187,21,20,False,True,False,False,False,True,False,False,False,False,False,0,group,True,16,False,member,7,0,8,3,63,0,348,none,False,False,group,37,20,3,51,117,41,2,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,18,12,3,0,0,5,-7,0.78,notify,payment,synthetic
69,none,False,201,19,40,False,False,False,False,False,False,True,True,False,False,False,0,group,True,5,False,member,3,1,3,0,21,0,173,marketplace,False,True,group,83,25,3,24,49,6,4,35,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,3,1,0,5,5,5,6,0.79,notify,event,synthetic
70,image,True,95,20,6,True,False,False,False,False,True,False,True,False,False,False,0,group,True,6,False,member,6,2,2,9,57,2,305,marketplace,False,False,group,54,18,2,24,99,28,2,15,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,4,12,1,7,7,0,-10,0.76,notify,event,synthetic
71,none,False,81,22,21,False,True,False,False,False,False,False,False,False,True,False,0,group,True,17,False,admin,25,19,12,9,241,4,960,coworker,False,False,group,97,29,4,54,73,18,1,20,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,17,20,4,0,0,5,-3,0.76,mute,promotion,synthetic
72,none,False,227,18,35,False,True,False,False,False,False,False,False,False,False,False,0,group,True,0,False,member,1,0,0,0,0,0,0,none,False,False,group,52,15,0,21,33,10,4,54,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,5,7,6,2,2,5,-3,0.83,digest,promotion,synthetic
73,none,False,173,9,10,True,True,False,False,False,False,False,False,False,False,False,0,group,True,2,False,member,2,2,0,8,239,1,951,none,False,False,group,60,22,4,20,89,3,0,15,True,True,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,4,1,4,19,19,5,-6,0.88,notify,urgent,synthetic
74,none,False,201,22,6,False,True,False,False,False,True,False,False,False,True,False,0,group,True,3,False,admin,1,0,1,0,5,1,71,society,False,False,group,79,26,1,2,90,36,3,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,22,18,6,4,4,5,-1,0.97,digest,personal,synthetic
75,none,False,225,21,25,True,False,False,False,False,False,False,False,False,False,False,0,group,True,6,False,admin,12,13,6,0,2,2,27,coworker,False,False,group,93,27,4,30,19,5,2,81,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,15,18,8,10,10,5,-1,0.8,digest,personal,synthetic
76,none,False,154,11,36,False,True,True,False,False,False,True,False,False,False,False,1,group,True,1,True,member,6,7,5,8,229,2,905,society,False,False,group,84,25,1,27,52,6,2,33,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,1,1,2,16,16,5,13,0.92,digest,greeting,synthetic
77,none,False,194,20,55,False,False,False,False,False,False,True,True,False,True,False,0,group,True,19,False,admin,20,19,11,2,167,2,705,marketplace,False,False,group,88,26,0,24,116,36,1,14,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,18,19,6,6,6,5,1,0.76,notify,event,synthetic
78,none,False,188,10,27,False,False,False,False,False,False,False,False,False,False,False,0,group,True,4,False,member,12,15,7,3,169,3,695,none,False,False,group,92,26,3,55,61,9,0,24,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,14,15,2,3,3,5,-7,0.75,notify,payment,synthetic
79,none,False,192,15,36,False,False,False,False,False,False,False,False,False,True,False,0,group,True,4,True,member,16,17,8,5,177,2,733,college_students,False,False,group,94,26,4,49,52,7,1,54,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,6,4,3,5,5,5,4,0.76,notify,event,synthetic
80,image,True,148,19,14,True,False,False,False,False,False,False,True,False,False,False,0,business,False,0,False,none,0,0,0,0,0,0,0,none,True,False,business,3,11,2,3,50,10,2,22,True,True,True,False,4448,3481,5296,54,healthcare,True,5,5,8,0,2,none,False,none,1,0,6,0,0,5,-21,0.75,notify,urgent,synthetic
81,none,False,211,21,13,False,False,False,False,False,False,False,True,False,False,False,0,personal,False,4,False,none,0,0,0,0,0,0,0,none,False,False,personal,95,29,2,53,115,20,1,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,9,5,5,15,15,5,6,0.76,digest,personal,synthetic
82,image,True,98,13,52,False,False,False,False,False,False,False,False,False,False,False,0,group,True,9,True,admin,15,18,8,8,240,3,954,extended_family,False,False,group,95,28,3,28,114,18,1,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,10,4,9,10,10,5,1,0.75,digest,personal,synthetic
83,image,True,141,14,13,False,False,False,False,False,False,False,False,False,False,True,0,personal,False,2,False,none,0,0,0,0,0,0,0,none,False,False,personal,85,28,3,49,72,5,1,39,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,1,0,4,5,5,5,-5,0.79,digest,personal,synthetic
